CLASS HABITAT-TYPE-GROUP
NAME B3
HABITAT-TYPES 250:280:281:283:292
CLIMAX-SPECIES DF:PP
SERAL-SPECIES DF:PP:LP:CW:ES
END

CLASS ALL-VEG-TYPES
553
NS,NS,1,1,LIGHT-SEVERITY-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:SUCCESSION:UPLAND-GRASSES/CLOSED-HERB/1:0,L-DF-GF:24:250:LATE-SERAL:11:268:WP:12:144:DF-PP-GF:19:267:CW:11:235:L:9:231:L-DF-LP:9:241:PP-DF:5:213:L-PP:2:197:DF-PP-LP:2:124:DF-PP:2:170:NS:167:43:L-LP-GF:13:269:DF-RRWP-GF:18:260:QA:12:235:RRWP:9:151:ES:18:220:L-GF:12:227:DF-GF:35:325:L-DF:11:234:PP:2:148:L-LP:8:229:DF-LP:4:279:L-PP-LP:12:169:PF:10:226:L-DF-PP:4:195:DF-RRWP:33:254:DF-WP:14:247:AGR:301:298:DF-WP-GF:17:256:EARLY-SERAL:11:276:GF:10:239:ES-LP:21:235:DF:1:131:LP:19:245
DF-PP-LP,SS,2,3,LIGHT-SEVERITY-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:SUCCESSION:DF-PP-LP/SS3/3:0,DF-PP-PP:81:120:DF-PP-LP:50:160
CW,LARGE,2,3,LIGHT-SEVERITY-FIRE:CW/LMU/3:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:CW/LMU/3:0:SUCCESSION:CW/LMU/4:0,CW:540:160
DF-PP-LP,SS,2,2,LIGHT-SEVERITY-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:SUCCESSION:DF-PP-LP/SS3/2:0,DF-PP-PP:81:19:DF-PP-LP:50:30
CW,LARGE,2,2,LIGHT-SEVERITY-FIRE:CW/LMU/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:CW/LMU/2:0:SUCCESSION:CW/LMU/3:0,CW:540:30
DF,SS,3,4,LIGHT-SEVERITY-FIRE:DF/POLE/3:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:DF/POLE/2:0:SUCCESSION:DF/POLE/4:0,DF:60:300
DF,SS,3,3,LIGHT-SEVERITY-FIRE:DF/POLE/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:DF/POLE/2:0:SUCCESSION:DF/PTS/3:0,DF:60:170
DF,SS,3,2,LIGHT-SEVERITY-FIRE:DF/POLE/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:DF/POLE/2:0:SUCCESSION:DF/PTS/2:0,DF-LP:26:64:DF:60:40
QA,POLE,1,4,LIGHT-SEVERITY-FIRE:QA/LMU/3:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:QA/LMU/3:0:SUCCESSION:QA/POLE2/4:0,QA:135:280
QA,POLE,1,3,LIGHT-SEVERITY-FIRE:QA/LMU/3:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:QA/LMU/3:0:SUCCESSION:QA/POLE2/4:0,QA:135:150
QA,POLE,1,2,LIGHT-SEVERITY-FIRE:QA/LMU/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:QA/LMU/2:0:SUCCESSION:QA/POLE2/3:0,QA:135:20
PP,MTS,1,4,LIGHT-SEVERITY-FIRE:PP/MEDIUM/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:PP/POLE/2:0:PP-MPB:PP/MEDIUM/2:0:SUCCESSION:PP/MMU/4:0,PP:380:280
PP,MTS,1,3,LIGHT-SEVERITY-FIRE:PP/MEDIUM/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:PP/POLE/2:0:PP-MPB:PP/MEDIUM/2:0:SUCCESSION:PP-DF/MMU/3:0,PP:380:150
CW-MC,POLE,2,4,LIGHT-SEVERITY-FIRE:PP-DF/SS/3:0:STAND-REPLACING-FIRE:CW-MC/SS/3:0:MIXED-SEVERITY-FIRE:PP-DF/SS/3:0:SUCCESSION:CW-MC/MEDIUM/4:0,CW-MC:145:290
PP,MTS,1,2,LIGHT-SEVERITY-FIRE:PP/MEDIUM/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:PP/POLE/2:0:PP-MPB:PP/MEDIUM/2:0:SUCCESSION:PP-DF/MMU/2:0,PP:380:20
CW-MC,POLE,2,3,LIGHT-SEVERITY-FIRE:PP-DF/SS/3:0:STAND-REPLACING-FIRE:CW-MC/SS/3:0:MIXED-SEVERITY-FIRE:PP-DF/SS/3:0:SUCCESSION:CW-MC/MEDIUM/4:0,CW-MC:145:160
CW-MC,POLE,2,2,LIGHT-SEVERITY-FIRE:PP-DF/SS/2:0:STAND-REPLACING-FIRE:CW-MC/SS/2:0:MIXED-SEVERITY-FIRE:PP-DF/SS/2:0:SUCCESSION:CW-MC/MEDIUM/3:0,CW-MC:145:30
PP-DF,VLTS,1,4,LIGHT-SEVERITY-FIRE:PP-DF/VLTS/3:0:SEVERE-WSBW:PP-DF/LARGE/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:PP-DF/LMU/2:0:LIGHT-WSBW:PP-DF/VLMU/4:0:MIXED-SEVERITY-FIRE:PP/LARGE/2:0:DF-BEETLE:PP/LMU/2:0:PP-MPB:DF/LTS/2:0:SUCCESSION:PP-DF/VLMU/4:0,PP-DF:850:280:PP:804:432
PP-DF,VLTS,1,3,LIGHT-SEVERITY-FIRE:PP-DF/VLTS/3:0:SEVERE-WSBW:PP-DF/LARGE/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:PP-DF/LMU/2:0:LIGHT-WSBW:PP-DF/VLMU/3:0:MIXED-SEVERITY-FIRE:PP/LARGE/2:0:DF-BEETLE:PP/LMU/2:0:PP-MPB:DF/LTS/2:0:SUCCESSION:PP-DF/VLMU/3:0,PP-DF:850:150:PP:795:266
PP-DF,VLTS,1,2,LIGHT-SEVERITY-FIRE:PP-DF/VLTS/2:0:SEVERE-WSBW:PP-DF/LARGE/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:PP-DF/LMU/2:0:LIGHT-WSBW:PP-DF/VLMU/3:0:MIXED-SEVERITY-FIRE:PP/LARGE/2:0:DF-BEETLE:PP/LMU/2:0:PP-MPB:DF/LTS/2:0:SUCCESSION:PP-DF/VLMU/3:0,PP-DF:850:20:PP:773:106
QA,LMU,1,4,LIGHT-SEVERITY-FIRE:QA/LMU/3:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:QA/LMU/3:0:SUCCESSION:QA/LMU/4:0,QA:690:280
QA,LMU,1,3,LIGHT-SEVERITY-FIRE:QA/LMU/3:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:QA/LMU/3:0:SUCCESSION:QA/LMU/4:0,QA:690:150
QA,LMU,1,2,LIGHT-SEVERITY-FIRE:QA/LMU/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:QA/LMU/2:0:SUCCESSION:QA/LMU/3:0,QA:690:20
ES,MMU,1,4,LIGHT-SEVERITY-FIRE:ES/MEDIUM/2:0:SEVERE-WSBW:ES/MEDIUM/3:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:LIGHT-WSBW:ES/MMU2/4:0:MIXED-SEVERITY-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:SUCCESSION:ES/MMU2/4:0,ES:455:280
ES,MMU,1,3,LIGHT-SEVERITY-FIRE:ES/MEDIUM/2:0:SEVERE-WSBW:ES/MEDIUM/3:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:LIGHT-WSBW:ES/MMU2/3:0:MIXED-SEVERITY-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:SUCCESSION:ES/MMU2/3:0,ES:455:150
ES,MMU,1,2,LIGHT-SEVERITY-FIRE:ES/MEDIUM/2:0:SEVERE-WSBW:ES/MEDIUM/3:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:LIGHT-WSBW:ES/MMU/3:0:MIXED-SEVERITY-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:SUCCESSION:ES/MMU/3:0,ES:455:20
DF-LP,MMU,4,4,LIGHT-SEVERITY-FIRE:DF-LP/LARGE/4:0:SEVERE-WSBW:DF-LP/MEDIUM/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:DF-LP/MTS/2:0:LIGHT-WSBW:DF-LP/LMU/4:0:MIXED-SEVERITY-FIRE:DF/LARGE/3:0:DF-BEETLE:DF-LP/LMU/2:0:SUCCESSION:DF-LP/LMU/4:0:SEVERE-LP-MPB:DF-LP/LMU/3:0:LIGHT-LP-MPB:DF-LP/LMU/3:0,DF-LP:485:310
DF-LP,MMU,4,3,LIGHT-SEVERITY-FIRE:DF-LP/LARGE/3:0:SEVERE-WSBW:DF-LP/MEDIUM/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:DF-LP/MTS/2:0:LIGHT-WSBW:DF-LP/LMU/4:0:MIXED-SEVERITY-FIRE:DF-LP/LARGE/2:0:DF-BEETLE:DF-LP/LMU/2:0:SUCCESSION:DF-LP/LMU/4:0:SEVERE-LP-MPB:DF-LP/LMU/2:0:LIGHT-LP-MPB:DF-LP/LMU/2:1,DF-LP:485:180
ES-LP,LMU,3,4,LIGHT-SEVERITY-FIRE:ES-LP/LARGE/3:0:SEVERE-WSBW:ES-LP/LARGE/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:LP/MTS/2:0:LIGHT-WSBW:ES-LP/LMU4/4:0:MIXED-SEVERITY-FIRE:LP/LARGE/2:0:SUCCESSION:ES-LP/LMU4/4:0:SPRUCE-BEETLE:LP/LMU/2:0:SEVERE-LP-MPB:ES-LP/LMU/3:0:LIGHT-LP-MPB:ES-LP/LMU/3:0,ES-LP:710:300
DF-LP,LMU,2,4,LIGHT-SEVERITY-FIRE:DF-LP/LARGE/3:0:SEVERE-WSBW:DF-LP/LARGE/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:DF-LP/MTS/2:0:LIGHT-WSBW:DF-LP/LMU3/4:0:MIXED-SEVERITY-FIRE:DF/LARGE/2:0:DF-BEETLE:DF-LP/LMU/2:0:SUCCESSION:DF-LP/LMU3/4:0:SEVERE-LP-MPB:DF-LP/LMU/3:0:LIGHT-LP-MPB:DF-LP/LMU/3:0,DF-LP:700:290
PP,PMU,1,4,LIGHT-SEVERITY-FIRE:PP/PTS/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:PP/POLE/2:0:SUCCESSION:PP/MMU/4:0,PP:260:280
PP,PMU,1,3,LIGHT-SEVERITY-FIRE:PP/PTS/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:PP/POLE/2:0:SUCCESSION:PP-DF/MMU/3:0,PP:260:150
PP,PMU,1,2,LIGHT-SEVERITY-FIRE:PP/PTS/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:PP/POLE/2:0:SUCCESSION:PP-DF/MMU/2:0,PP-DF:247:93:PP:260:20
LP,PTS,1,3,LIGHT-SEVERITY-FIRE:LP/POLE/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:LP/POLE/2:0:SUCCESSION:LP/PTS2/3:0,DF-LP:224:188:LP:180:150
LP,PTS,1,2,LIGHT-SEVERITY-FIRE:LP/POLE/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:LP/POLE/2:0:SUCCESSION:LP/PTS/3:0,DF-LP:234:39:LP:180:20:AF:217:40
PP,LMU,1,4,LIGHT-SEVERITY-FIRE:PP/LMU2/3:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:PP/LARGE/2:0:PP-MPB:PP/LMU/2:0:SUCCESSION:PP/LMU2/4:0,PP:690:280
PP,LMU,1,3,LIGHT-SEVERITY-FIRE:PP/LMU2/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:PP/LARGE/2:0:PP-MPB:PP/LMU/2:0:SUCCESSION:PP/LMU2/3:0,PP-DF:594:227:PP:690:150
LP,LMU,3,3,LIGHT-SEVERITY-FIRE:LP/LTS/3:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:LP/LARGE/2:0:SUCCESSION:DF-LP/LMU/4:0:SEVERE-LP-MPB:LP/MEDIUM/2:0:LIGHT-LP-MPB:LP/LTS/3:0,LP:710:170
PP,LMU,1,2,LIGHT-SEVERITY-FIRE:PP/LMU2/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:PP/LARGE/2:0:DF-BEETLE:PP/LMU/2:0:PP-MPB:PP/LMU/2:0:SUCCESSION:PP-DF/LMU/3:0,DF-LP:722:84:L-DF-PP:581:75:DF-PP-LP:617:71:PP-DF:652:83:ES-LP:762:243:PP:690:20
LP,LTS,1,3,LIGHT-SEVERITY-FIRE:LP/LTS/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:LP/LARGE/2:0:SUCCESSION:LP/LTS2/3:0:SEVERE-LP-MPB:LP/MEDIUM/2:0:LIGHT-LP-MPB:LP/LTS/2:0,LP:610:150
LP,LTS,1,2,LIGHT-SEVERITY-FIRE:LP/LTS/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:LP/LARGE/2:0:SUCCESSION:LP/LTS/3:0:SEVERE-LP-MPB:LP/MEDIUM/2:0:LIGHT-LP-MPB:LP/LTS/2:0,LP:610:20
ES-LP,MEDIUM,3,4,LIGHT-SEVERITY-FIRE:ES-LP/MEDIUM/3:0:SEVERE-WSBW:ES-LP/MEDIUM/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:LP/MTS/2:0:LIGHT-WSBW:ES-LP/MEDIUM4/4:0:MIXED-SEVERITY-FIRE:LP/MEDIUM/2:0:SUCCESSION:ES-LP/MEDIUM4/4:0:SEVERE-LP-MPB:ES-LP/MEDIUM/3:0:LIGHT-LP-MPB:ES-LP/MEDIUM/3:0,ES-LP:335:300
DF,LMU,2,4,LIGHT-SEVERITY-FIRE:DF/LTS/2:0:SEVERE-WSBW:DF/LARGE/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:DF/LMU/3:0:LIGHT-WSBW:DF/LMU3/4:0:MIXED-SEVERITY-FIRE:DF/LARGE/2:0:DF-BEETLE:DF/LMU/3:0:SUCCESSION:DF/LMU3/4:0,L-DF:862:398:DF-LP:843:393:DF:700:290:LP:940:379:PP-DF:836:430
DF,LMU,2,3,LIGHT-SEVERITY-FIRE:DF/LTS/2:0:SEVERE-WSBW:DF/LARGE/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:DF/LMU/2:0:LIGHT-WSBW:DF/LMU3/3:0:MIXED-SEVERITY-FIRE:DF/LARGE/2:0:DF-BEETLE:DF/LMU/2:0:SUCCESSION:DF/LMU3/3:0,DF-LP:825:238:DF:700:160:LP:941:212:DF-GF:870:485:PP-DF:830:277:DF-WP:760:207
ES,PTS,3,4,LIGHT-SEVERITY-FIRE:ES/POLE/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:SUCCESSION:ES/PTS4/4:0,ES:200:300
